text,anger,disgust,fear,joy,sadness,surprise,neutral,Negative,Positive,date
The day started like any other.,0.025991803035140038,0.017580680549144745,0.7985740303993225,0.017925845459103584,0.07959795743227005,0.008215613663196564,0.05211404338479042,0.002337047830224037,0.9976630210876465,2024-04-01 00:00:00
"Woke up, had my usual coffee, and went about my routine.",0.011331891641020775,0.03323277831077576,0.008013727143406868,0.13340799510478973,0.7710328698158264,0.025920424610376358,0.017060259357094765,0.0017736422596499324,0.9982263445854187,2024-04-01 00:00:00
Work was neither too stressful nor too exciting—just another regular day.,0.0121162636205554,0.005369179416447878,0.018796762451529503,0.4850941002368927,0.1528194099664688,0.2235315889120102,0.10227272659540176,0.003375361207872629,0.9966247081756592,2024-04-01 00:00:00
"Even the evening felt routine, with dinner, a little TV, and scrolling through social media before heading to bed.",0.0048803952522575855,0.03762899339199066,0.0026959467213600874,0.14382104575634003,0.7807817459106445,0.025198787450790405,0.00499323196709156,0.9980721473693848,0.001927793025970459,2024-04-01 00:00:00
Met an old friend unexpectedly at a cafe.,0.008115081116557121,0.005830604117363691,0.07987713813781738,0.49625617265701294,0.006156780291348696,0.006608754862099886,0.3971554636955261,0.001198950340040028,0.9988009929656982,2024-04-02 00:00:00
"We hadn’t talked in years, but it felt like no time had passed.",0.007678195368498564,0.04571094363927841,0.02138744480907917,0.013259541243314743,0.6556394696235657,0.24009491503238678,0.016229428350925446,0.0033273310400545597,0.9966726303100586,2024-04-02 00:00:00
"We laughed about old times, shared updates about life, and left with a warmth that carried me through the rest of the day.",0.008565151132643223,0.024560734629631042,0.00105593865737319,0.6563654541969299,0.28955990076065063,0.014213534072041512,0.005679331719875336,0.001065402990207076,0.9989345669746399,2024-04-02 00:00:00
It reminded me how little moments like these can be so uplifting.,0.001234330702573061,0.003275822149589658,0.003143853275105357,0.9172177910804749,0.046961624175310135,0.013246295042335987,0.014920349232852459,0.00116992078255862,0.9988300204277039,2024-04-02 00:00:00
Received a random package at my doorstep.,0.029348066076636314,0.006548190023750067,0.016021843999624252,0.6347662210464478,0.02839682623744011,0.004704250022768974,0.2802145779132843,0.9980910420417786,0.0019088881090283394,2024-04-03 00:00:00
"Turns out, it was a book I had pre-ordered months ago and completely forgotten about.",0.021011600270867348,0.02926499955356121,0.004648018628358841,0.004040319472551346,0.45561060309410095,0.019864585250616074,0.46555984020233154,0.991122841835022,0.008877218700945377,2024-04-03 00:00:00
That small but pleasant surprise brought a smile to my face.,0.0012729510199278593,0.001248307409696281,0.00048598129069432616,0.9696453213691711,0.008779719471931458,0.001323274802416563,0.0172444935888052,0.001168366288766265,0.9988316893577576,2024-04-03 00:00:00
"I spent the evening flipping through its pages, already hooked by the first few chapters.",0.004729913081973791,0.0398702509701252,0.006115745287388563,0.21827815473079681,0.7055572867393494,0.011496457271277905,0.013952132314443588,0.0011126247700303793,0.9988873600959778,2024-04-03 00:00:00
"Saw an old picture today, and it brought back memories of someone I don’t talk to anymore.",0.006679227109998465,0.30704647302627563,0.01501559093594551,0.025930946692824364,0.11340267956256866,0.08097655326128006,0.4509485065937042,0.9943846464157104,0.005615302827209234,2024-04-04 00:00:00
It made me wonder how things could have been different.,0.005449188873171806,0.0032274462282657623,0.008379697799682617,0.0016929673729464412,0.010530335828661919,0.00212394492700696,0.9685964584350586,0.003990890923887491,0.996009111404419,2024-04-04 00:00:00
"I carried that heaviness with me all day, replaying past conversations in my mind and feeling that bittersweet nostalgia settle in my chest.",0.0006138460012152791,0.0027265942189842463,0.0018882830627262592,0.002410341752693057,0.010381349362432957,0.9784020781517029,0.003577475668862462,0.0061768521554768085,0.9938231706619263,2024-04-04 00:00:00
Had an amazing workout today—one of those days where everything just clicks.,0.00512155145406723,0.0012328838929533958,0.003787572728469968,0.6069874167442322,0.052371811121702194,0.003661899361759424,0.32683685421943665,0.001073528197593987,0.9989264607429504,2024-04-05 00:00:00
"I felt strong, energized, and proud of myself for pushing through.",0.0016573319444432855,0.002479019807651639,0.0017705531790852547,0.9861542582511902,0.004011084325611591,0.00278331502340734,0.0011445224517956376,0.001151201082393527,0.9988487958908081,2024-04-05 00:00:00
"There's something so satisfying about feeling progress, both physically and mentally.",0.0017955495277419686,0.0060237981379032135,0.0004193838103674352,0.9685760736465454,0.015256393700838089,0.005241247825324535,0.002687551314011216,0.0011817095801234245,0.9988182187080383,2024-04-05 00:00:00
"Ended the night with a good meal, feeling accomplished and happy.",0.0012495608534663916,0.001421276479959488,0.00021882643341086805,0.9890409111976624,0.003966940101236105,0.00236680475063622,0.0017356552416458726,0.0010735251707956195,0.9989264607429504,2024-04-05 00:00:00
"Woke up from a nightmare, the kind that lingers even after you realize it wasn’t real.",0.007836222648620605,0.013886481523513794,0.9083267450332642,0.0022272050846368074,0.031385306268930435,0.012691158801317215,0.023646926507353783,0.9970292448997498,0.0029708377551287413,2024-04-06 00:00:00
"My heart was still pounding, and it took a while to shake the uneasy feeling.",0.0007676738314330578,0.001701436354778707,0.9909103512763977,0.0009578076424077153,0.0023088569287210703,0.002422662917524576,0.0009311417234130204,0.9928440451622009,0.007155894301831722,2024-04-06 00:00:00
Even the shadows in my room felt eerie.,0.0027405107393860817,0.026871245354413986,0.8840481042861938,0.001541995326988399,0.023887041956186295,0.012347867712378502,0.04856324568390846,0.9992952346801758,0.0007047288818284869,2024-04-06 00:00:00
I distracted myself with a podcast until I calmed down enough to fall asleep again.,0.095307856798172,0.2794684171676636,0.04393633455038071,0.015163827687501907,0.2621597349643707,0.29746854305267334,0.006495308596640825,0.997729480266571,0.002270529279485345,2024-04-06 00:00:00
Saw someone littering at the park.,0.0041353218257427216,0.9893998503684998,0.0035953407641500235,0.00026009054272435606,0.0006008440395817161,0.0015619518235325813,0.0004465523816179484,0.9993335604667664,0.0006663763779215515,2024-04-07 00:00:00
It irked me more than it should have.,0.7041550278663635,0.1294703632593155,0.01968875713646412,0.0027320790104568005,0.02150951884686947,0.10252123326063156,0.01992308348417282,0.9983441829681396,0.0016557617345824838,2024-04-07 00:00:00
Just the casual disregard for the environment left a bad taste in my mouth.,0.0134978536516428,0.9536351561546326,0.002768521895632148,0.0006471466040238738,0.02407517284154892,0.0045769549906253815,0.0007991681923158467,0.9994866847991943,0.0005133469821885228,2024-04-07 00:00:00
"I picked up the trash myself, but it made me wonder—how hard is it to just do the right thing?",0.05273152515292168,0.0350307822227478,0.03485504537820816,0.004156332928687334,0.018817108124494553,0.02179764211177826,0.8326114416122437,0.003028237959370017,0.9969717264175415,2024-04-07 00:00:00
It’s frustrating seeing such carelessness.,0.10692671686410904,0.7657231092453003,0.012226484715938568,0.0015877888072282076,0.07924672961235046,0.025151409208774567,0.009137813001871109,0.999488115310669,0.0005118510453030467,2024-04-07 00:00:00
Nothing eventful today.,0.006313567981123924,0.0051226443611085415,0.7975904941558838,0.006077425554394722,0.05849684402346611,0.08551047742366791,0.04088858515024185,0.9989763498306274,0.0010236679809167981,2024-04-08 00:00:00
"Just a regular cycle of work, eat, and sleep.",0.009077146649360657,0.03940736502408981,0.004055344965308905,0.004708337597548962,0.9183782339096069,0.019466403871774673,0.004907199181616306,0.01759199984371662,0.9824079871177673,2024-04-08 00:00:00
It’s weird how some days just blur into the next without anything particularly exciting or upsetting happening.,0.03131699189543724,0.6380047798156738,0.039593107998371124,0.004756540525704622,0.1536487340927124,0.014466005377471447,0.11821383982896805,0.9978827834129333,0.00211725034750998,2024-04-08 00:00:00
"Maybe tomorrow will bring something different, but for now, today just existed in the background of my life.",0.008457858115434647,0.021270759403705597,0.0069181653670966625,0.0028042548801749945,0.9369404911994934,0.016586842015385628,0.007021680939942598,0.9994601607322693,0.0005397979984991252,2024-04-08 00:00:00
Someone cut me off in traffic and had the audacity to honk at me.,0.5668431520462036,0.3815476596355438,0.026495443657040596,0.0018260361393913627,0.013574119657278061,0.005666249897330999,0.004047307185828686,0.9994906187057495,0.0005093571962788701,2024-04-09 00:00:00
That irrational burst of anger stayed with me longer than I’d like to admit.,0.9649105668067932,0.0064514135010540485,0.009726435877382755,0.0006718382937833667,0.01009413879364729,0.0024906618054956198,0.005654975306242704,0.9939246773719788,0.006075327750295401,2024-04-09 00:00:00
"I replayed the moment in my head, thinking of all the witty comebacks I could have said.",0.015293057076632977,0.01555271353572607,0.0016233446076512337,0.032385531812906265,0.8907525539398193,0.005064673721790314,0.03932816535234451,0.9949746131896973,0.005025411024689674,2024-04-09 00:00:00
It’s funny how small things can feel so big in the moment.,0.009914109483361244,0.016234571114182472,0.00607661297544837,0.16816969215869904,0.04953375458717346,0.005511151161044836,0.744560182094574,0.024115387350320816,0.9758846759796143,2024-04-09 00:00:00
"Tried a new dish today, and it was fantastic!",0.0018654449377208948,0.0007562382961623371,0.0007038101321086287,0.9204868078231812,0.017954783514142036,0.002427460625767708,0.05580540746450424,0.001142816268838942,0.9988571405410767,2024-04-10 00:00:00
There’s something about good food that instantly lifts the mood.,0.0033627685625106096,0.01808292418718338,0.0017603548476472497,0.5960615873336792,0.3595483899116516,0.004510999191552401,0.016673028469085693,0.0010950147407129407,0.9989049434661865,2024-04-10 00:00:00
"I savored every bite, already thinking about when I could have it again.",0.011330567300319672,0.16663944721221924,0.00418495200574398,0.5054240226745605,0.2926253378391266,0.012246399186551571,0.007549311500042677,0.0011233214754611254,0.9988766312599182,2024-04-10 00:00:00
Cooking or ordering food isn’t just about eating; it’s about the experience of discovering something new.,0.01708185113966465,0.10579708963632584,0.022458801046013832,0.17505840957164764,0.6355026960372925,0.007839803583920002,0.03626124560832977,0.0011190626537427306,0.998880922794342,2024-04-10 00:00:00
Got a message from a distant cousin out of nowhere.,0.016928477212786674,0.00791698507964611,0.012932045385241508,0.049425918608903885,0.2706246078014374,0.028276067227125168,0.613895833492279,0.984784722328186,0.015215305611491203,2024-04-11 00:00:00
"We haven’t spoken in years, and it was nice catching up.",0.0023115789517760277,0.005118172615766525,0.0012061033630743623,0.7809180617332458,0.17677561938762665,0.014475991018116474,0.019194457679986954,0.0010992990573868155,0.9989006519317627,2024-04-11 00:00:00
"Life has taken us in such different directions, yet we still found common ground.",0.0032057336065918207,0.0039543285965919495,0.004715512972325087,0.012422993779182434,0.9401468634605408,0.00965843815356493,0.02589614875614643,0.0012594109866768122,0.9987406134605408,2024-04-11 00:00:00
"It’s strange how time passes, but some connections never really fade completely.",0.00899620819836855,0.03138414025306702,0.026593433693051338,0.0023065207060426474,0.09950187057256699,0.0033424075227230787,0.8278753757476807,0.0076987831853330135,0.9923012256622314,2024-04-11 00:00:00
Felt a little lonely today.,0.001505449996329844,0.005924407858401537,0.005007398314774036,0.0010585604468360543,0.011433837935328484,0.972772479057312,0.002297829370945692,0.994528591632843,0.005471386015415192,2024-04-12 00:00:00
Not sure why.,0.015795812010765076,0.00820141565054655,0.009784187190234661,0.0015764333074912429,0.0972750335931778,0.007482065353542566,0.8598850965499878,0.9990990161895752,0.0009010530775412917,2024-04-12 00:00:00
Maybe it’s just one of those days where everything feels a little heavier.,0.0063363900408148766,0.15518632531166077,0.016586070880293846,0.003605998121201992,0.6323336362838745,0.16488762199878693,0.021063966676592827,0.9525123834609985,0.04748765006661415,2024-04-12 00:00:00
"I tried distracting myself with work and entertainment, but the feeling lingered in the background.",0.04511089250445366,0.6316290497779846,0.009620465338230133,0.0012830975465476513,0.020662156865000725,0.28993651270866394,0.0017578041879460216,0.9717022180557251,0.0282977856695652,2024-04-12 00:00:00
"Some days are just like that, and I guess that’s okay.",0.0327591747045517,0.05286768078804016,0.0029313748236745596,0.02069000154733658,0.8796511888504028,0.008636059239506721,0.002464525168761611,0.9797688126564026,0.020231232047080994,2024-04-12 00:00:00
"Got through work, finished some errands, and wrapped up the day with a movie.",0.006006245035678148,0.00504639744758606,0.0018257719930261374,0.6309263706207275,0.3015075922012329,0.03378777578473091,0.020899778231978416,0.0011373406741768122,0.998862624168396,2024-04-13 00:00:00
"Nothing particularly special, but not bad either.",0.010047118179500103,0.8850710391998291,0.005750773474574089,0.0034108259715139866,0.05669434368610382,0.03548237308859825,0.0035435163881629705,0.992142915725708,0.007857115939259529,2024-04-13 00:00:00
"These kinds of days may not be memorable, but they make up most of life.",0.006110946647822857,0.01661701872944832,0.005223311949521303,0.023685630410909653,0.9108853936195374,0.01575455255806446,0.021723126992583275,0.001256182324141264,0.9987438321113586,2024-04-13 00:00:00
"And in a way, that’s comforting—just moving forward, one day at a time.",0.007467980496585369,0.02631424181163311,0.0052569168619811535,0.504225492477417,0.42886507511138916,0.015498504973948002,0.012371808290481567,0.0017915639327839017,0.9982084035873413,2024-04-13 00:00:00
Had to walk through a poorly lit street at night.,0.0031759324483573437,0.006454594433307648,0.970007598400116,0.0008672982803545892,0.009456140920519829,0.00376230594702065,0.006276142783463001,0.9994814991950989,0.0005184946930967271,2024-04-14 00:00:00
"Heart raced a little faster than usual, even though nothing happened.",0.11530724912881851,0.023853017017245293,0.03582204505801201,0.005311108194291592,0.3370800316333771,0.09583916515111923,0.3867873251438141,0.02007448300719261,0.9799254536628723,2024-04-14 00:00:00
Funny how the mind creates scenarios.,0.04683694243431091,0.11560946702957153,0.004215046297758818,0.3930944800376892,0.20355314016342163,0.02316492609679699,0.21352598071098328,0.0038523173425346613,0.996147632598877,2024-04-14 00:00:00
"The sound of footsteps behind me didn’t help, even though it was probably just another person walking home like me.",0.02098613604903221,0.16728121042251587,0.27124595642089844,0.005677517037838697,0.4402138590812683,0.020293371751904488,0.07430187612771988,0.9994913339614868,0.0005086299497634172,2024-04-14 00:00:00
Had some street food that didn’t sit well with me.,0.04252776876091957,0.5796733498573303,0.026250893250107765,0.0022344421595335007,0.07782160490751266,0.26473069190979004,0.0067613874562084675,0.9993732571601868,0.0006267671124078333,2024-04-15 00:00:00
Regretted my choices almost instantly.,0.7666680812835693,0.12430860102176666,0.005816183518618345,0.002188318409025669,0.05520004779100418,0.013327515684068203,0.032491255551576614,0.9991713762283325,0.000828621385153383,2024-04-15 00:00:00
"My stomach was upset all night, and I kept scolding myself for not being more careful.",0.04965433105826378,0.1310907006263733,0.36322930455207825,0.0037772119976580143,0.10147802531719208,0.3396306335926056,0.011139783076941967,0.9992930889129639,0.0007068502600304782,2024-04-15 00:00:00
Lesson learned—maybe I should stick to safer options next time.,0.028839677572250366,0.044747911393642426,0.04099082574248314,0.013298694044351578,0.852016270160675,0.016744835302233696,0.003361758543178439,0.9943969249725342,0.005603095516562462,2024-04-15 00:00:00
"Meetings, emails, and the usual work chaos.",0.027485156431794167,0.049326732754707336,0.01322890818119049,0.018521355465054512,0.7686769366264343,0.09493173658847809,0.027829213067889214,0.9988929629325867,0.0011070541804656386,2024-04-16 00:00:00
"Nothing too dramatic, just the usual grind.",0.0220128633081913,0.018789129331707954,0.04002682492136955,0.005581635516136885,0.48245343565940857,0.12369756400585175,0.30743855237960815,0.9984591007232666,0.00154090893920511,2024-04-16 00:00:00
